"States","t","totalPopulation","totalLaborForce","perCapitaGDP"
"Tennessee",1999,5638706,2852445,39343
"Texas",1999,20558220,10245857,44342
"Utah",1999,2203482,1120920,37950
"Vermont",1999,604683,336946,34922
"Virginia",1999,7000174,3540081,46292
"Washington",1999,5842564,3085544,50560
"West Virginia",1999,1811799,804343,32101
"Wisconsin",1999,5332666,2947247,41125
"Wyoming",1999,491780,262758,49170
"Alabama",2000,4452173,2133223,33712
"Arizona",2000,5160586,2509883,39247
"Arkansas",2000,2678588,1258301,32057
"California",2000,33987977,16867808,48635
"Colorado",2000,4326921,2359515,50544
"Connecticut",2000,3411777,1764126,60661
"Delaware",2000,786373,413500,64013
"District of Columbia",2000,572046,310469,139750
"Florida",2000,16047515,7856895,38404
"Georgia",2000,8227303,4222253,45539
"Idaho",2000,1299430,659824,35034
"Illinois",2000,12434161,6493466,49276
"Indiana",2000,6091866,3126379,41302
"Iowa",2000,2929067,1590453,39824
"Kansas",2000,2693681,1406580,40077
"Kentucky",2000,4049021,1965688,35701
"Louisiana",2000,4471885,2037075,40908
"Maine",2000,1277072,678164,36202
"Maryland",2000,5311034,2803685,45745
"Massachusetts",2000,6361104,3330177,54703
"Michigan",2000,9952450,5162774,42325
"Minnesota",2000,4933692,2812947,48055
"Mississippi",2000,2848353,1319266,29272
"Missouri",2000,5607285,2959946,41722
"Montana",2000,903773,467293,31816
"Nebraska",2000,1713820,944973,42015
"Nevada",2000,2018741,1067022,48826
"New Hampshire",2000,1239882,687908,43194
"New Jersey",2000,8430621,4282069,53276
"New Mexico",2000,1821204,845755,37950
"New York",2000,19001780,9133869,53046
"North Carolina",2000,8081614,4138190,42201
"North Dakota",2000,642023,342568,35134
"Ohio",2000,11363543,5787343,42320
"Oklahoma",2000,3454365,1660528,34212
"Oregon",2000,3429708,1818559,38365
"Pennsylvania",2000,12284173,6106892,42073
"Rhode Island",2000,1050268,543561,41191
"South Carolina",2000,4024223,1993562,36388
"South Dakota",2000,755844,408658,36110
"Tennessee",2000,5703719,2843069,39277
"Texas",2000,20944499,10374053,45102
"Utah",2000,2244502,1142044,38960
"Vermont",2000,609618,331404,36379
"Virginia",2000,7105817,3605811,47456
"Washington",2000,5910512,3059339,50572
"West Virginia",2000,1807021,809063,31986
"Wisconsin",2000,5373999,2973221,41816
"Wyoming",2000,494300,266808,50687
"Alabama",2001,4467634,2115401,33908
"Arizona",2001,5273477,2585284,39258
"Arkansas",2001,2691571,1253456,31883
"California",2001,34479458,17128430,47786
"Colorado",2001,4425687,2391048,50247
"Connecticut",2001,3432835,1759829,60867
"Delaware",2001,795699,421786,64376
"District of Columbia",2001,574504,310515,145924
"Florida",2001,16356966,8043714,38731
"Georgia",2001,8377038,4262041,45206
"Idaho",2001,1319962,677665,33559
"Illinois",2001,12488445,6457922,48940
"Indiana",2001,6127760,3140899,40259
"Iowa",2001,2931997,1612964,39039
"Kansas",2001,2702162,1390620,40070
"Kentucky",2001,4068132,1958409,35718
"Louisiana",2001,4477875,2028302,41610
"Maine",2001,1285692,674319,36562
"Maryland",2001,5374691,2837985,47007
"Massachusetts",2001,6397634,3381287,54941
"Michigan",2001,9991120,5119956,40980
"Minnesota",2001,4982796,2845203,47796
"Mississippi",2001,2852994,1294134,28953
"Missouri",2001,5641142,3001465,41263
"Montana",2001,906961,466063,32292
"Nebraska",2001,1719836,950764,42499
"Nevada",2001,2098399,1112079,48010
"New Hampshire",2001,1255517,697760,42899
"New Jersey",2001,8492671,4288826,53470
"New Mexico",2001,1831690,857949,38201
"New York",2001,19082838,9151745,54402
"North Carolina",2001,8210122,4198338,42571
"North Dakota",2001,639062,341816,36030
"Ohio",2001,11387404,5816832,41723
"Oklahoma",2001,3467100,1675935,35201
"Oregon",2001,3467937,1823916,37387
"Pennsylvania",2001,12298970,6178617,42794
"Rhode Island",2001,1057142,543862,41818
"South Carolina",2001,4064995,1949685,36309
"South Dakota",2001,757972,412778,36912
"Tennessee",2001,5750789,2861343,39175
"Texas",2001,21319622,10532732,45462
"Utah",2001,2283715,1164077,39255
"Vermont",2001,612223,337065,37249
"Virginia",2001,7198362,3670137,48211
"Washington",2001,5985722,3039367,48704
"West Virginia",2001,1801481,809128,31992
"Wisconsin",2001,5406835,3011703,41862
"Wyoming",2001,494657,269359,53536
"Alabama",2002,4480089,2106161,34716
"Arizona",2002,5396255,2679421,39387
"Arkansas",2002,2705927,1270997,32647
"California",2002,34871843,17257097,48417
"Colorado",2002,4490406,2442992,49809
"Connecticut",2002,3458749,1774152,60174
"Delaware",2002,806169,416783,62003
"District of Columbia",2002,573158,306099,150066
"Florida",2002,16689370,8114409,39457
"Georgia",2002,8508256,4327691,44740
"Idaho",2002,1340372,684591,33882
"Illinois",2002,12525556,6349239,48951
"Indiana",2002,6155967,3171168,41034
"Iowa",2002,2934234,1637909,40112
"Kansas",2002,2713535,1413014,40525
"Kentucky",2002,4089875,1944020,36437
"Louisiana",2002,4497267,2004222,42054
"Maine",2002,1295960,675232,37195
"Maryland",2002,5440389,2869954,48080
